date,time,subject,blockcode,Blocknum and trialnum,trialcode,primestim,targetstim,correct,latency
23.06.22,10:46:38,548957868,practice,1_4,prime_negative_practice,0,0,0,541
23.06.22,10:46:38,548957868,practice,1_5,prime_negative_practice,0,0,0,264
23.06.22,10:46:38,548957868,practice,1_6,prime_positive_practice,0,0,1,1260
23.06.22,10:46:38,548957868,test,2_1,instructions,0,0,1,3313
23.06.22,11:55:36,504546409,practice,1_4,prime_negative_practice,0,0,0,593
23.06.22,11:55:36,504546409,practice,1_5,prime_positive_practice,0,0,0,192
23.06.22,11:55:36,504546409,practice,1_6,prime_positive_practice,0,0,0,252
23.06.22,11:55:36,504546409,practice,1_7,prime_negative_practice,0,0,0,189
23.06.22,11:55:36,504546409,practice,1_8,prime_negative_practice,0,0,1,240
23.06.22,11:55:36,504546409,practice,1_9,prime_negative_practice,0,0,0,246
23.06.22,11:55:36,504546409,practice,1_10,prime_positive_practice,0,0,0,248
23.06.22,11:55:36,504546409,practice,1_11,prime_positive_practice,0,0,0,224
23.06.22,11:55:36,504546409,practice,1_12,prime_negative_practice,0,0,0,263
23.06.22,11:55:36,504546409,practice,1_13,prime_positive_practice,0,0,1,252
23.06.22,11:55:36,504546409,test,2_2,prime_positive,1,61,0,161
23.06.22,11:55:36,504546409,test,2_3,prime_positive,2,4,0,328
23.06.22,11:55:36,504546409,test,2_4,prime_positive,4,54,1,220
23.06.22,11:55:36,504546409,test,2_5,prime_negative,1,33,1,308
23.06.22,11:55:36,504546409,test,2_6,prime_negative,3,71,1,235
23.06.22,11:55:36,504546409,test,2_7,prime_negative,4,37,1,224
23.06.22,11:55:36,504546409,test,2_8,prime_negative,2,19,0,369
23.06.22,11:55:36,504546409,test,2_9,prime_positive,4,56,1,1105
23.06.22,12:37:27,893377996,practice,1_4,prime_negative_practice,0,0,1,751
23.06.22,12:37:27,893377996,test,2_1,instructions,0,0,1,241
23.06.22,12:23:51,994692692,practice,1_4,prime_positive_practice,0,0,0,2290
